Username,Password,Role,FirstName,LastName
10001,1234,Employee,Manuel III,Garcia
10002,1234,HR,Antonio,Lim
10003,1234,Employee,Bianca Sofia,Aquino
10004,1234,HR,Isabella,Reyes
10005,1234,Employee,Eduard,Hernandez
10006,1234,Employee,Andrea Mae,Villanueva
10007,1234,HR,Brad,San Jose
10008,1234,Employee,Alice,Romualdez
10009,1234,HR,Rosie,Atienza
10010,1234,Employee,Roderick,Alvaro
10011,1234,Employee,Anthony,Salcedo
10012,1234,HR,Josie,Lopez
10013,1234,Employee,Martha,Farala
10014,1234,HR,Leila,Martinez
10015,1234,Employee,Fredrick,Romualdez
10016,1234,HR,Christian,Mata
10017,1234,Employee,Selena,De Leon
10018,1234,Employee,Allison,San Jose
10019,1234,HR,Cydney,Rosario
10020,1234,Employee,Mark,Bautista
10021,1234,HR,Darlene,Lazaro
10022,1234,Employee,Kolby,Delos Santos
10023,1234,Employee,Vella,Santos
10024,1234,HR,Tomas,Del Rosario
10025,1234,Employee,Jacklyn,Tolentino
10026,1234,Employee,Percival,Gutierrez
10027,1234,HR,Garfield,Manalaysay
10028,1234,Employee,Lizeth,Villegas
10029,1234,HR,Carol,Ramos
10030,1234,Employee,Emelia,Maceda
10031,1234,HR,Delia,Aguilar
10032,1234,Employee,John Rafael,Castro
10033,1234,HR,Carlos Ian,Martinez
10034,1234,Employee,Beatriz,Santos
